YEAR,MES,DIA,HORA,MINUTO,Temperatura,Humedad_Relativa,Presion_hPa
2008,1,6,2,0,25.7,95.2,1014.08
2008,1,6,3,0,25.7,95.3,1014.022
2008,1,6,4,0,25.6,95.6,1013.965
2008,1,6,5,0,25.6,95.6,1013.647
2008,1,6,6,0,25.5,95.7,1013.372
2008,1,6,7,0,25.4,95.8,1012.983
2008,1,6,8,0,25.3,95.9,1012.674
2008,1,6,9,0,25.3,95.9,1012.814
2008,1,6,10,0,25.1,96.3,1013.092
2008,1,6,11,0,25.1,96.2,1013.436
2008,1,6,12,0,25.2,96.1,1014.118
2008,1,6,13,0,25.3,96,1014.864
2008,1,6,14,0,25.3,96,1015.411
2008,1,6,15,0,25.3,96.1,1015.539
2008,1,6,16,0,25.3,96.3,1015.238
2008,1,6,17,0,25.2,96.5,1014.557
2008,1,6,18,0,25.1,96.8,1013.381
2008,1,6,19,0,25.1,96.8,1012.333
2008,1,6,20,0,25.1,96.7,1011.622
2008,1,6,21,0,25.1,96.8,1011.433
2008,1,6,22,0,25,96.9,1011.911
2008,1,6,23,0,25.1,96.7,1012.142
2008,1,7,0,0,25.2,96.4,1012.676
2008,1,7,1,0,25.2,96.3,1013.481
2008,1,7,2,0,25.2,96.3,1013.884
2008,1,7,3,0,25.2,96.3,1014.424
2008,1,7,4,0,25.1,96.6,1014.268
2008,1,7,5,0,25,96.7,1013.938
2008,1,7,6,0,24.8,97,1013.598
2008,1,7,7,0,24.4,97.4,1012.838
2008,1,7,8,0,24.2,97.6,1012.767
2008,1,7,9,0,24.3,97.4,1012.612
2008,1,7,10,0,24.7,96.8,1012.792
2008,1,7,11,0,24.8,96.6,1013.171
2008,1,7,12,0,25,96,1013.971
2008,1,7,13,0,25.2,95.7,1014.346
2008,1,7,14,0,25.3,95.8,1014.912
2008,1,7,15,0,25.4,95.5,1014.982
2008,1,7,16,0,25.5,95.2,1014.467
2008,1,7,17,0,25.6,95.4,1013.762
2008,1,7,18,0,25.6,95.5,1012.731
2008,1,7,19,0,25.5,96,1011.63
2008,1,7,20,0,25.5,96,1011.241
