YEAR,MONTH,DAY,HOUR,MINUTE,wSpeed.60,wDir.98
2008,1,6,19,0,6.446082838,73.5
2008,1,6,20,0,6.625973522,72.2
2008,1,6,21,0,6.75339609,70.7
2008,1,6,22,0,6.348642051,68
2008,1,6,23,0,6.52103729,67.4
2008,1,7,0,0,6.98575489,67.7
2008,1,7,1,0,7.188131909,69.6
2008,1,7,2,0,7.128168348,72.3
2008,1,7,3,0,6.955773109,74.4
2008,1,7,4,0,6.700927974,75.9
2008,1,7,5,0,6.813359651,78.7
2008,1,7,6,0,6.798368761,82.2
2008,1,7,7,0,6.843341432,84.1
2008,1,7,8,0,6.880818658,85.4
2008,1,7,9,0,6.895809548,85.7
2008,1,7,10,0,6.723414309,88.9
2008,1,7,11,0,6.993250335,90.5
2008,1,7,12,0,7.075700232,91.5
2008,1,7,13,0,7.030727561,92.6
2008,1,7,14,0,6.910800438,93.8
2008,1,7,15,0,6.618478077,93.2
2008,1,7,16,0,6.161255922,88.6
2008,1,7,17,0,6.026337909,82.5
2008,1,7,18,0,5.861438116,75.2
2008,1,7,19,0,5.868933561,69.3
2008,1,7,20,0,6.011347019,66.3
2008,1,7,21,0,6.386119277,63.9
2008,1,7,22,0,5.689042877,62.4
2008,1,7,23,0,5.546629419,62.4
2008,1,8,0,0,5.621583871,61.8
2008,1,8,1,0,5.734015548,60.7
2008,1,8,2,0,6.07131058,60.7
2008,1,8,3,0,6.2736876,62.9
2008,1,8,4,0,6.363632942,65.5
2008,1,8,5,0,6.296173935,69.8
2008,1,8,6,0,6.393614722,72.7
2008,1,8,7,0,6.28867849,72.6
2008,1,8,8,0,6.356137496,74.4
2008,1,8,9,0,6.341146606,76.1
2008,1,8,10,0,5.981365238,78.7
2008,1,8,11,0,5.80897,79
2008,1,8,12,0,5.666556542,80.7
2008,1,8,13,0,5.231820722,83
2008,1,8,14,0,4.999461922,82.8
2008,1,8,15,0,5.029443703,82.3
2008,1,8,16,0,5.066920929,82.6
2008,1,8,17,0,5.216829832,81.6
2008,1,8,18,0,5.149370826,79.6
2008,1,8,19,0,5.1118936,76
2008,1,8,20,0,5.186848051,69.9
2008,1,8,21,0,5.209334387,64.2
2008,1,8,22,0,4.932002916,62.1
2008,1,8,23,0,4.8795348,62.5
2008,1,9,0,0,4.932002916,63.4
2008,1,9,1,0,4.774598568,65.4
2008,1,9,2,0,4.864543909,67.1
2008,1,9,3,0,5.036939148,71
2008,1,9,4,0,4.969480142,73.8
2008,1,9,5,0,4.902021135,76.1
2008,1,9,6,0,4.917012026,77
2008,1,9,7,0,5.014452813,76.3
2008,1,9,8,0,5.104398155,76.1
2008,1,9,9,0,5.246811613,76.3
2008,1,9,10,0,5.066920929,77.5
2008,1,9,11,0,5.14187538,77.6
2008,1,9,12,0,5.119389045,78.1
2008,1,9,13,0,5.029443703,78.9
2008,1,9,14,0,5.089407264,79.9
2008,1,9,15,0,5.096902709,78.6
2008,1,9,16,0,4.924507471,76.3
2008,1,9,17,0,4.782094013,73.9
2008,1,9,18,0,4.617194219,72.5
2008,1,9,19,0,4.609698774,67.3
2008,1,9,20,0,4.812075793,60.5
2008,1,9,21,0,5.104398155,55.9
2008,1,9,22,0,4.737121342,52.2
2008,1,9,23,0,4.714635006,51.3
2008,1,10,0,0,4.969480142,51.1
2008,1,10,1,0,5.044434593,51.7
2008,1,10,2,0,5.164361716,55.5
2008,1,10,3,0,5.156866271,58.1
2008,1,10,4,0,5.074416374,60.1
2008,1,10,5,0,5.059425484,61.2
2008,1,10,6,0,4.991966477,61.1
2008,1,10,7,0,4.902021135,60.6
2008,1,10,8,0,4.782094013,61.4
2008,1,10,9,0,4.759607677,64.4
2008,1,10,10,0,4.467285316,67.9
2008,1,10,11,0,4.249917406,70.9
2008,1,10,12,0,4.092513058,72.8
2008,1,10,13,0,4.055035832,72.6
2008,1,10,14,0,4.264908297,70.7
2008,1,10,15,0,4.459789871,69.6
2008,1,10,16,0,4.557230658,71.4
2008,1,10,17,0,4.542239768,71
2008,1,10,18,0,4.572221548,68.1
2008,1,10,19,0,4.66216689,65.6
2008,1,10,20,0,4.737121342,62.4
2008,1,10,21,0,4.864543909,57.1
2008,1,10,22,0,4.66216689,57.5
2008,1,10,23,0,4.744616787,56.3
2008,1,11,0,0,5.021948258,55.6
2008,1,11,1,0,5.37423418,53.7
2008,1,11,2,0,5.471674967,56.1
2008,1,11,3,0,5.464179522,60.6
2008,1,11,4,0,5.366738735,65.1
2008,1,11,5,0,5.276793393,68.3
2008,1,11,6,0,5.074416374,71
2008,1,11,7,0,4.857048464,74.3
2008,1,11,8,0,4.752112232,78.2
2008,1,11,9,0,4.737121342,80.8
2008,1,11,10,0,4.542239768,84.8
2008,1,11,11,0,4.362349084,87.3
2008,1,11,12,0,4.302385522,87.4
2008,1,11,13,0,4.347358193,87.7
2008,1,11,14,0,4.489771651,86.2
2008,1,11,15,0,4.609698774,85.4
2008,1,11,16,0,4.564726103,85.6
2008,1,11,17,0,4.392330864,84
2008,1,11,18,0,4.459789871,78.2
2008,1,11,19,0,4.609698774,73.1
2008,1,11,20,0,4.744616787,68.9
2008,1,11,21,0,4.864543909,65.7
2008,1,11,22,0,4.579716993,68.1
2008,1,11,23,0,4.572221548,67.7
2008,1,12,0,0,4.744616787,65.9
2008,1,12,1,0,5.1118936,66.6
2008,1,12,2,0,5.351747845,66
2008,1,12,3,0,5.5766112,65.4
2008,1,12,4,0,5.599097535,65.8
2008,1,12,5,0,5.666556542,66.8
2008,1,12,6,0,5.621583871,69.5
2008,1,12,7,0,5.636574761,73.1
2008,1,12,8,0,5.704033767,74
2008,1,12,9,0,5.696538322,73.2
2008,1,12,10,0,5.164361716,76.2
2008,1,12,11,0,5.1118936,78.4
2008,1,12,12,0,4.946993806,80.5
2008,1,12,13,0,5.036939148,83.5
2008,1,12,14,0,5.104398155,84.8
2008,1,12,15,0,5.276793393,83.3
2008,1,12,16,0,5.509152193,80.7
2008,1,12,17,0,5.801474555,79.3
2008,1,12,18,0,5.936392567,77.9
2008,1,12,19,0,6.078806026,74.8
2008,1,12,20,0,6.086301471,71.6
2008,1,12,21,0,5.906410787,69.3
2008,1,12,22,0,5.404215961,66
2008,1,12,23,0,5.5766112,64.4
2008,1,13,0,0,6.221219484,64.5
2008,1,13,1,0,6.595991742,66.4
2008,1,13,2,0,6.775882426,67.8
2008,1,13,3,0,6.813359651,70
2008,1,13,4,0,6.483560064,72.8
2008,1,13,5,0,6.326155716,75.2
2008,1,13,6,0,5.928897122,77.6
2008,1,13,7,0,5.958878903,80.4
2008,1,13,8,0,6.243705819,83.2
2008,1,13,9,0,6.408605613,83.7
2008,1,13,10,0,5.966374348,84.2
2008,1,13,11,0,6.063815135,83.7
2008,1,13,12,0,6.063815135,83
2008,1,13,13,0,6.206228593,82.9
2008,1,13,14,0,6.333651161,82.3
2008,1,13,15,0,6.356137496,82.3
2008,1,13,16,0,6.28867849,81.8
2008,1,13,17,0,6.07131058,80.2
2008,1,13,18,0,5.913906232,75.8
2008,1,13,19,0,6.206228593,72.7
2008,1,13,20,0,6.386119277,70.4
2008,1,13,21,0,6.483560064,65.5
2008,1,13,22,0,6.116283251,65.8
2008,1,13,23,0,6.333651161,65.6
2008,1,14,0,0,6.446082838,66.8
2008,1,14,1,0,6.341146606,69.1
2008,1,14,2,0,6.138769587,72.1
2008,1,14,3,0,6.153760477,73.6
2008,1,14,4,0,6.116283251,75
2008,1,14,5,0,6.198733148,77.7
2008,1,14,6,0,6.183742258,80.8
2008,1,14,7,0,6.131274142,81.4
2008,1,14,8,0,6.048824245,81.2
2008,1,14,9,0,6.408605613,82.7
2008,1,14,10,0,5.726520103,82.7
2008,1,14,11,0,5.778988219,85.6
2008,1,14,12,0,5.898915342,86.5
2008,1,14,13,0,6.161255922,85.2
2008,1,14,14,0,5.778988219,81.8
2008,1,14,15,0,5.629079316,77.8
2008,1,14,16,0,5.524143084,74.9
2008,1,14,17,0,5.60659298,74.9
2008,1,14,18,0,5.719024658,73.5
2008,1,14,19,0,5.636574761,68.1
2008,1,14,20,0,6.206228593,64.9
2008,1,14,21,0,6.663450748,63.9
2008,1,14,22,0,6.468569174,67.3
2008,1,14,23,0,6.498550955,64.9
2008,1,15,0,0,6.933286774,66.6
2008,1,15,1,0,6.948277664,69.7
2008,1,15,2,0,6.880818658,73
2008,1,15,3,0,6.543523626,76
2008,1,15,4,0,6.033833355,77.1
2008,1,15,5,0,5.868933561,77.7
2008,1,15,6,0,5.82396089,76.8
2008,1,15,7,0,5.786483664,76.7
2008,1,15,8,0,5.943888013,76.7
2008,1,15,9,0,6.543523626,79.6
2008,1,15,10,0,6.453578284,77.6
2008,1,15,11,0,6.05631969,80.6
2008,1,15,12,0,6.123778696,82.9
2008,1,15,13,0,5.943888013,84.4
2008,1,15,14,0,5.928897122,82.2
2008,1,15,15,0,6.108787806,79.5
2008,1,15,16,0,6.311164826,78.6
2008,1,15,17,0,6.333651161,76.1
2008,1,15,18,0,6.363632942,72.2
2008,1,15,19,0,6.513541845,69.3
2008,1,15,20,0,6.461073729,68.1
2008,1,15,21,0,6.513541845,67.5
2008,1,15,22,0,5.816465445,69.1
2008,1,15,23,0,5.83895178,66.7
2008,1,16,0,0,5.943888013,66.8
2008,1,16,1,0,6.191237703,68.2
2008,1,16,2,0,6.07131058,71.3
2008,1,16,3,0,6.108787806,75.1
2008,1,16,4,0,6.108787806,77.3
2008,1,16,5,0,5.996356129,77.6
2008,1,16,6,0,6.078806026,78.6
2008,1,16,7,0,6.408605613,79.7
2008,1,16,8,0,6.581000851,82.2
2008,1,16,9,0,6.528532735,83.7
2008,1,16,10,0,6.378623832,84.1
2008,1,16,11,0,6.296173935,83.3
2008,1,16,12,0,6.453578284,83.7
2008,1,16,13,0,6.401110167,83.7
2008,1,16,14,0,6.30366938,83.3
2008,1,16,15,0,6.108787806,82
2008,1,16,16,0,6.168751367,80.4
2008,1,16,17,0,6.108787806,78.8
2008,1,16,18,0,5.921401677,76.2
2008,1,16,19,0,6.063815135,71.3
2008,1,16,20,0,6.423596503,67.2
2008,1,16,21,0,6.648459858,65.6
2008,1,16,22,0,6.476064619,68.8
2008,1,16,23,0,6.281183045,70.4
2008,1,17,0,0,6.408605613,71.7
2008,1,17,1,0,6.416101058,72.1
2008,1,17,2,0,6.543523626,73.1
2008,1,17,3,0,6.53602818,74.6
2008,1,17,4,0,6.558514516,76.6
2008,1,17,5,0,6.438587393,78.5
2008,1,17,6,0,6.296173935,80.5
2008,1,17,7,0,6.566009961,82.6
2008,1,17,8,0,6.693432529,85.6
2008,1,17,9,0,6.925791329,88.2
2008,1,17,10,0,6.760891535,88.9
2008,1,17,11,0,6.873323213,91.1
2008,1,17,12,0,6.858332322,90.7
2008,1,17,13,0,7.00074578,87.5
2008,1,17,14,0,7.315554477,85
2008,1,17,15,0,7.353031703,84.3
2008,1,17,16,0,7.368022593,83.8
2008,1,17,17,0,7.210618245,81.2
2008,1,17,18,0,6.805864206,77.5
2008,1,17,19,0,6.858332322,74.7
2008,1,17,20,0,7.015736671,72.9
2008,1,17,21,0,7.090691122,71.8
2008,1,17,22,0,6.603487187,68.6
2008,1,17,23,0,6.933286774,67.9
2008,1,18,0,0,7.832740193,69.6
2008,1,18,1,0,8.16253978,71.5
2008,1,18,2,0,7.990144542,71.8
2008,1,18,3,0,7.772776632,71.2
2008,1,18,4,0,7.592885948,71.6
2008,1,18,5,0,7.562904167,74.2
2008,1,18,6,0,7.510436051,76.8
2008,1,18,7,0,7.510436051,78.2
2008,1,18,8,0,7.562904167,79.6
2008,1,18,9,0,7.607876838,80.7
2008,1,18,10,0,6.543523626,81.6
2008,1,18,11,0,6.925791329,84.5
2008,1,18,12,0,7.383013484,88.8
2008,1,18,13,0,7.712813071,93.5
2008,1,18,14,0,7.795262967,96.2
2008,1,18,15,0,7.263086361,95.6
2008,1,18,16,0,7.045718451,92.9
2008,1,18,17,0,6.783377871,88
2008,1,18,18,0,6.75339609,82.1
2008,1,18,19,0,6.940782219,77.7
2008,1,18,20,0,7.308059032,75.7
2008,1,18,21,0,7.547913277,73.7
2008,1,18,22,0,7.2031228,71.3
2008,1,18,23,0,7.405499819,71.2
2008,1,19,0,0,7.68283129,70.9
2008,1,19,1,0,7.6678404,70.6
2008,1,19,2,0,7.855226529,72.5
2008,1,19,3,0,7.622867729,76
2008,1,19,4,0,7.825244748,80.5
2008,1,19,5,0,8.005135432,83.3
2008,1,19,6,0,7.645354064,84.1
2008,1,19,7,0,7.615372284,84.1
2008,1,19,8,0,7.675335845,83.7
2008,1,19,9,0,7.817749303,83.4
2008,1,19,10,0,7.577895058,87
